question_id,solution_area,domain,subdomain,question_type,level,question_text,option_a,option_b,option_c,option_d
1,Infra SE,Azure infrastructure (IaaS),Compute fundamentals,neutral_theory,200,"In cloud computing, what best describes Infrastructure-as-a-Service (IaaS)?","On-demand compute, storage and networking building blocks that the customer configures and manages",A managed database only,A no-code app builder,Fully managed applications delivered over the web
2,Infra SE,Azure infrastructure (IaaS),VM sizing,ms_theory,200,An Azure VM is memory-bound. Which lever most directly addresses this without redesigning the app?,Changing the DNS zone,Enabling a larger font in the portal,Adding a public IP address,Choosing a VM series/size with a higher memory-to-vCPU ratio (right-sizing the SKU)
3,Infra SE,Azure infrastructure (IaaS),HA concepts,neutral_theory,200,What do Azure Availability Zones primarily protect a workload against?,The failure of an entire datacentre/zone within a region,A slow local laptop,A user forgetting their password,An expired TLS certificate
4,Infra SE,Azure infrastructure (IaaS),Cost optimisation,ms_app,300,"In the North Cheshire & Mersey datacentre migration, how can existing Windows Server/SQL licences reduce Azure cost?",By disabling backups,By applying Azure Hybrid Benefit to reuse licences with Software Assurance on Azure,By deleting all on-premises licences immediately,By buying the largest VM available
5,Infra SE,Migration & modernisation,Assessment,neutral_theory,200,"Before migrating a datacentre to the cloud, what is the purpose of a discovery and assessment phase?","To inventory workloads, dependencies, sizing and readiness to plan migration waves",To immediately delete on-premises servers,To pick a logo colour for the project,To skip planning and lift everything at once
6,Infra SE,Migration & modernisation,Azure Migrate,ms_theory,200,"Which Azure service provides a central hub to discover, assess and migrate servers, databases and web apps to Azure?",Azure DNS,Azure Migrate,Azure Key Vault,Azure Firewall
7,Infra SE,Migration & modernisation,6R strategies,neutral_theory,300,"In cloud migration strategy, what does 'rehost' (one of the 6 Rs) mean?",Move the workload to the cloud largely as-is ('lift and shift') with minimal change,Retire the application,Rewrite the application from scratch as cloud-native,Repurchase a SaaS replacement
8,Infra SE,Migration & modernisation,Migration wave planning,ms_app,300,"In the DHCW 'migration wave one' engagement, why sequence a datacentre migration into waves rather than moving everything at once?",Because Azure only accepts one server per day,To maximise downtime,To reduce risk by grouping workloads by dependency/complexity and validating each wave,To avoid ever assessing the estate
9,Infra SE,Landing zones & governance,Landing zone concept,ms_theory,300,What is an Azure Landing Zone?,"A pre-configured, governed environment (identity, networking, governance, security) that workloads land into at scale",A Power BI dashboard,A single virtual machine,A physical loading dock in a datacentre
10,Infra SE,Landing zones & governance,CAF,ms_theory,300,What does the Microsoft Cloud Adoption Framework (CAF) provide?,A specific VM SKU,A container image registry,"Guidance and best practices across Strategy, Plan, Ready, Adopt, Govern and Manage for cloud adoption",A hardware warranty
11,Infra SE,Landing zones & governance,Resource organisation,neutral_app,300,A customer needs consistent policy and access control across many subscriptions. Which Azure construct helps apply governance at scale?,One giant resource group for everything,Manually editing each resource daily,A single shared admin password,Management groups with Azure Policy and RBAC
12,Infra SE,Networking,VNet fundamentals,neutral_theory,200,What is the primary role of a virtual network (VNet) in Azure?,To render 3D graphics,To act as an email server,To store relational data,To provide an isolated private network for Azure resources to communicate securely
13,Infra SE,Networking,Hybrid connectivity,ms_theory,300,"A customer needs a private, high-bandwidth, predictable connection from their datacentre to Azure that does not traverse the public internet. What should you recommend?",A site-to-site VPN over the public internet only,Azure ExpressRoute,A public IP on every VM,Azure DNS
