question_id,solution_area,domain,subdomain,question_type,level,question_text,option_a,option_b,option_c,option_d
1,Data SE,Operational & transactional databases,OLTP fundamentals,neutral_theory,200,"In a transactional (OLTP) database, the ACID properties guarantee reliable transaction processing. What does the 'D' in ACID stand for?",Deduplication - duplicate rows are removed on commit,Denormalization - tables are flattened for faster reads,"Durability - once a transaction is committed, its changes survive a system failure",Distribution - data is automatically sharded across nodes
2,Data SE,Operational & transactional databases,Azure SQL deployment options,ms_theory,200,"A customer wants to lift-and-shift an on-premises SQL Server database to a fully managed PaaS service with the highest SQL Server feature and surface-area compatibility (e.g. SQL Agent, cross-database queries). Which option fits best?",Azure Database for PostgreSQL,Azure SQL Database (single database),Azure SQL Managed Instance,Azure Cosmos DB
3,Data SE,Operational & transactional databases,Cosmos DB consistency,ms_theory,300,"Azure Cosmos DB offers five consistency levels. Which level provides the lowest latency and highest availability, but the weakest consistency guarantee?",Session,Bounded staleness,Eventual,Strong
4,Data SE,Operational & transactional databases,Data store selection,neutral_app,300,"An application needs single-digit-millisecond reads for globally distributed users and a flexible, evolving schema. Which database family is the most appropriate starting point, and what is the key trade-off to discuss?",A globally distributed NoSQL store; trade-off is choosing a consistency level vs latency/availability,A graph database; trade-off is lack of transactions,A single-region relational RDBMS; trade-off is licensing cost,A columnar data warehouse; trade-off is index maintenance
5,Data SE,Operational & transactional databases,AI grounding on operational data,ms_app,300,Dynamics 365 Business Central wanted meaning-based (semantic) search without adding another major data service. What approach did the solution use?,Use native vector support in Azure SQL Database to store embeddings alongside the operational data,Export all data to Azure AI Search and retire the relational database,Build a separate Databricks lakehouse purely for search,Move the entire workload to Cosmos DB for MongoDB
6,Data SE,Migration & modernisation,Migration types,neutral_theory,200,What distinguishes a heterogeneous database migration from a homogeneous one?,Heterogeneous means moving between different database engines (e.g. Oracle to PostgreSQL); homogeneous keeps the same engine,Heterogeneous means an online migration; homogeneous means offline,Heterogeneous means cross-region; homogeneous means same-region,Heterogeneous means moving to a larger SKU of the same engine
7,Data SE,Migration & modernisation,Migration tooling,ms_theory,200,Which Microsoft tool is designed to convert an Oracle schema and PL/SQL code to a target such as Azure SQL or Azure Database for PostgreSQL?,Microsoft Purview,Data Migration Assistant (DMA),Azure Migrate,SQL Server Migration Assistant (SSMA)
8,Data SE,Migration & modernisation,Migration tooling,ms_theory,300,"After schema conversion, which Azure service performs the actual online or offline data movement at scale into the target Azure database?",SQL Server Migration Assistant (SSMA),Azure Database Migration Service (DMS),Data Migration Assistant (DMA),Azure Data Studio only
9,Data SE,Migration & modernisation,Estate assessment,neutral_app,300,A customer wants to cut Oracle licensing cost with minimal re-platforming risk. What should be the FIRST step before selecting a target platform?,Lift-and-shift to a VM without any analysis,"Run an estate assessment to inventory workloads, dependencies and compatibility",Immediately rewrite the application in a new language,Purchase the largest available SKU to guarantee performance
10,Data SE,Migration & modernisation,Heterogeneous migration,ms_app,400,Staples needed to move an Oracle Exadata backend while retaining existing Java microservices and minimising application disruption. Which target and approach best fits?,Fabric Warehouse as the transactional backend,Azure Cosmos DB with a full application rewrite,"Azure Database for PostgreSQL Flexible Server, using SSMA/GenAI-assisted schema and code conversion with validation",Azure SQL Database serverless with no code changes
11,Data SE,Fabric end-to-end analytics,OLTP vs OLAP,neutral_theory,200,Which processing style is optimised for large-scale analytical aggregations and historical reporting rather than high-volume single-row transactions?,OLAP (online analytical processing),Message queuing,CRUD processing,OLTP (online transaction processing)
12,Data SE,Fabric end-to-end analytics,OneLake,ms_theory,200,"In Microsoft Fabric, what is OneLake best described as?","A single, unified logical data lake automatically provisioned for the entire tenant",A pipeline orchestration scheduler,A T-SQL query engine for ad-hoc reporting,A Power BI visualisation layer
