answer_id,question_id,correct_option,correct_answer_text,rationale,scenario_anchor
A001,Q001,C,Durability,"Durability guarantees that once a transaction commits, its effects persist through crashes/power loss, typically via write-ahead logging. ACID = Atomicity, Consistency, Isolation, Durability.",
A002,Q002,C,Azure SQL Managed Instance,"Managed Instance provides near-100% SQL Server surface-area compatibility (SQL Agent, cross-DB queries, CLR, etc.), making it the default PaaS target for lift-and-shift.",American Airlines; Wolters Kluwer; Hexure (SQL MI migrations)
A003,Q003,C,Eventual,"Eventual consistency gives the lowest latency, highest availability and highest throughput, at the cost of no ordering guarantee. Strong is the opposite end of the spectrum.",
A004,Q004,A,A globally distributed NoSQL store; trade-off is consistency vs latency/availability,"Global low-latency + flexible schema points to a distributed NoSQL document store (e.g. Cosmos DB). The key design decision is the consistency level, which trades off against latency and availability.","UnitedHealth Group (Cosmos DB for MongoDB, near-real-time patient data)"
A005,Q005,A,Native vector support in Azure SQL Database,Storing embeddings next to the operational relational data via native vector support avoids adding a separate service and keeps operational overhead low.,Dynamics 365 Business Central (native vectors in Azure SQL)
A006,Q006,A,Heterogeneous = different engines; homogeneous = same engine,Heterogeneous migrations cross engines (Oracle to PostgreSQL) and require schema/code conversion; homogeneous migrations keep the same engine (SQL Server to Azure SQL) and are usually simpler.,"PwC, Staples, Vale (Oracle to PostgreSQL)"
A007,Q007,D,SQL Server Migration Assistant (SSMA),"SSMA converts source schemas and procedural code (e.g. Oracle PL/SQL, Sybase) to Microsoft/Azure targets. DMA assesses SQL Server; DMS moves data; Azure Migrate discovers estates.","Northern Trust, LSEG (SSMA-based conversion)"
A008,Q008,B,Azure Database Migration Service (DMS),DMS orchestrates the actual data movement (online/offline) into Azure database targets after schema conversion. SSMA/DMA are assessment/conversion tools.,PTC (PostgreSQL Migration Service)
A009,Q009,B,Run an estate assessment first,"Assessment (inventory, dependencies, compatibility, sizing) de-risks the migration and informs the right target and approach before any code or platform commitment.",PwC; UHNM (independent estate assessment & design validation)
A010,Q010,C,Azure Database for PostgreSQL Flexible Server with assisted conversion,PostgreSQL Flexible Server is the open-source target that preserves the Java microservices; SSMA/GenAI-assisted conversion plus validation minimises application disruption.,"Staples (Oracle Exadata to PostgreSQL, GenAI-assisted conversion)"
A011,Q011,A,OLAP,"OLAP is optimised for large aggregations, scans and historical analysis; OLTP is optimised for high-volume, low-latency single-row transactions.",
A012,Q012,A,"A single, unified logical data lake for the tenant","OneLake is the tenant-wide, OneDrive-like logical data lake that underpins all Fabric workloads, providing a single copy of data accessible across engines.",
A013,Q013,C,Fabric Warehouse,"The Warehouse supports full T-SQL DML and multi-table transactions on a distributed, multi-node engine. The Lakehouse SQL endpoint is read-only; Spark handles writes there.",East Sussex (Warehouse vs SQL Database vs Lakehouse decision)
A014,Q014,C,It queries Delta tables in OneLake directly,"Direct Lake reads Delta/Parquet in OneLake directly, giving import-like performance without scheduled import refresh or DirectQuery source translation.",
A015,Q015,C,"Load to staging/heap first, then index and validate",Bulk-loading into a heap/staging table then applying indexes afterwards (and validating row counts and datatypes) is far faster than maintaining indexes during load.,East Sussex Fabric PoC (bulk-load tuning)
A016,Q016,B,SSIS does not run natively in Fabric; re-implement in pipelines/notebooks,"There is no native SSIS runtime in Fabric; ETL logic is rebuilt with Data Factory pipelines and/or notebooks (Python/Spark), sometimes re-engineering third-party components.",Sirona (SSIS & stored-proc migration to Fabric)
A017,Q017,A,RPO (Recovery Point Objective),RPO defines the maximum acceptable data loss (how far back you may lose data). RTO defines the maximum acceptable downtime.,
A018,Q018,C,Automatic geo-failover with a read-write listener,"Auto-failover groups fail a set of databases over to a secondary region and redirect app connections via listener endpoints, simplifying regional DR.","Nationstar, American Airlines (geo-DR)"
A019,Q019,C,The Fabric Capacity Metrics app,"The Capacity Metrics app shows CU consumption, smoothing and throttling, so an SE can benchmark real workload cost before committing to an F-SKU size.","Sirona, East Sussex (capacity benchmarking with Metrics app/FUAM)"
A020,Q020,B,Active geo-replication / standby in a paired region with automated failover,Cross-region replication with automated failover is required to survive a full region loss with near-zero downtime and minimal data loss.,American Airlines (active-standby geo-replication)
A021,Q021,B,Zone-redundant MI + auto-failover group to a paired region,Zone redundancy handles intra-region (datacentre) failures; an auto-failover group to a paired region handles regional DR. Together they meet mission-critical resilience.,"Nationstar Mortgage (zone-redundant SQL MI, regional pairing)"
A022,Q022,D,A capacity/licensing transition (P-SKU to F-SKU),The move from Premium P1 to Fabric F64 is chiefly a capacity/licensing transition; workspaces are reassigned to Fabric capacity and OneLake is adopted only as broader workloads warrant.,NHS Devon ICB (P-SKU to F-SKU migration)
A023,Q023,B,Retrieve relevant context at query time and inject it into the prompt,"RAG grounds an LLM by retrieving relevant context (often via vector search) and adding it to the prompt, improving accuracy without retraining the model.",
A024,Q024,B,Embeddings represent semantic meaning; nearest-neighbour search finds similar items,"Embeddings are numeric vectors capturing meaning; similarity (nearest-neighbour) search retrieves the closest vectors, enabling semantic retrieval for RAG.",
A025,Q025,C,"Azure SQL, PostgreSQL (pgvector) and Cosmos DB all support vectors","All three operational databases now offer native vector storage/search, so embeddings can live next to operational data rather than only in a dedicated vector store.","Business Central (Azure SQL), Repsol (Cosmos + PostgreSQL)"
A026,Q026,D,Cosmos DB knowledge graph + vector search (graph RAG),J&J combined a Cosmos DB knowledge graph with vector embeddings/search and Azure OpenAI to ground AI over related structured and unstructured knowledge.,"Johnson & Johnson (Cosmos AI Graph, graph RAG)"
A027,Q027,C,"Mirror Cosmos into Fabric, model with medallion, expose a Data Agent","Fabric mirroring replicates Cosmos containers into OneLake; flattening into Bronze-Silver-Gold produces a curated model, and a Fabric Data Agent enables natural-language analytics.","iLending (Fabric mirroring of Cosmos DB, Data Agent)"
A028,Q028,A,One central fact table surrounded by dimension tables,A star schema places measurable facts in a central table linked to descriptive dimension tables; it is optimised for analytical queries and BI.,
A029,Q029,A,"Bronze = raw, Silver = cleansed/conformed, Gold = curated business-ready","The medallion pattern progressively refines data quality: raw landing (Bronze), validated/conformed (Silver), and business-level aggregates/models (Gold).","East Sussex, iLending (medallion modelling)"
A030,Q030,D,"Unified data governance: catalogue, classification, lineage, discovery","Purview delivers governance across the estate - data map/catalogue, sensitivity classification, lineage and discovery - underpinning compliance and trust.",
A031,Q031,D,OneLake shortcuts and mirroring,"Shortcuts reference external data in place and mirroring replicates sources into OneLake, enabling interoperability with Snowflake/Iceberg without wholesale copies.","Bupa (OneLake shortcuts, mirroring, Iceberg)"
A032,Q032,A,Translate to business outcomes and analogies,"SEs win technical decisions by mapping technology to business value, risk and cost for executives, reserving deep implementation detail for technical stakeholders.",Data SE role: consultative selling / trusted advisor
