answer_id,question_id,correct_option,correct_answer_text,rationale,scenario_anchor
1,1,D,Grounds answers in retrieved enterprise knowledge,"RAG retrieves relevant context (often via vector search) at query time and injects it into the prompt, grounding responses and cutting hallucination without retraining.",NHS AI Platform; RAG with Azure AI Search & Copilot Studio
2,2,A,"A unified platform to build, evaluate, deploy and manage AI apps/agents","Azure AI Foundry is the end-to-end developer platform for models, RAG, agents, evaluation and governance - the strategic pro-code AI app platform.",NHS AI Platform Strategy (Foundry as custom AI app platform)
3,3,C,Azure AI Search (vector + semantic search),"Azure AI Search stores vector embeddings and supports hybrid/semantic retrieval, making it the common knowledge-retrieval layer in Azure RAG solutions.",RAG with Azure AI Search & Copilot Studio
4,4,B,Implement RAG grounded in source documents with citations,Grounding responses in retrieved source content (and citing it) is the correct fix for hallucination; raising temperature would worsen it.,Copilot Studio RAG engagements (reduce hallucination)
5,5,C,Copilot Studio: low-code business agents integrated with M365/Teams,"Copilot Studio suits low-code, business-user agents with connectors and M365/Teams integration; Foundry suits pro-code custom orchestration and models.",Copilot Studio + Foundry agent engagements (platform choice)
6,6,B,It reasons over a goal and takes multi-step actions/tool calls,"An agent plans and acts across multiple steps, invoking tools/data to accomplish a goal, unlike a single-turn Q&A bot.",Copilot Studio / Foundry agent development
7,7,D,"An open-source SDK to orchestrate LLMs, plugins and memory","Semantic Kernel orchestrates models, tools/plugins and memory to build AI apps and agents in code.",Foundry agent development (Semantic Kernel)
8,8,D,"Select from multiple foundation models (GPT, Llama, Phi, etc.)",'Bring your own model' lets customers pick the best/most cost-effective model per use case instead of being locked to one.,Copilot Studio + Foundry (BYO model: GPT/Claude/Gemini/Llama/Phi)
9,9,A,"Small, independently deployable services communicating over APIs","Microservices decompose an app into independently deployable, API-connected services, enabling independent scaling and release.",Broad .NET/Java modernisation programme
10,10,A,Producers emit events consumers react to asynchronously,"Event-driven systems decouple producers and consumers via asynchronous events, improving scalability and resilience.",DevOps & app platform modernisation
11,11,C,"Noun-based URLs, correct status codes, and versioning","RESTful design uses resource nouns, meaningful HTTP status codes, authentication and versioning - not verbs-in-URLs or blanket 200s.",Cloud-native app architecture (API design)
12,12,C,"The app plus dependencies and runtime, isolated from the host","A container bundles the app with its dependencies/runtime and shares the host kernel - lighter than a full VM - giving consistent, portable execution.",Containerising apps for AKS
13,13,B,Azure Container Apps (ACA) - serverless containers,"ACA runs containers serverlessly without exposing Kubernetes control planes/nodes, ideal for microservices without cluster management.",Containerisation with AKS/ACA engagements
14,14,A,When fine-grained Kubernetes control/customisation is needed,"AKS suits teams standardising on Kubernetes or needing custom networking, operators and control; ACA abstracts that away.",GitHub Copilot -> Containers in AKS workshop
15,15,B,Assess -> upgrade to modern .NET -> containerise -> deploy,"The recommended path assesses the app, upgrades to modern .NET, then containerises and deploys to the right host (App Service/ACA/AKS).",GitHub Copilot .NET app modernisation workshop
16,16,C,A fully managed PaaS for web apps and APIs,"App Service hosts web apps/APIs as a managed PaaS, removing server management while supporting scaling, slots and container sidecars.",App Service modernisation engagements
17,17,A,A managed PaaS web app or serverless container,"For a simple stateless API with low ops overhead, managed PaaS/serverless is the right first choice over self-managed clusters or VMs.",DevOps & app platform modernisation
18,18,D,"Automate building, testing and deploying code reliably","CI/CD automates build, test and deploy so changes ship frequently and safely with less manual error.",Vodafone DevOps / CI-CD modernisation
19,19,C,An AI pair-programmer that suggests code in the IDE,"GitHub Copilot assists developers with AI code suggestions and chat directly in the editor, boosting productivity.",GitHub Copilot public-sector app development
20,20,D,Shift-left with GitHub Advanced Security in CI/CD (DevSecOps),"DevSecOps integrates scanning (e.g. GitHub Advanced Security) into the pipeline so security is continuous, not a final gate.",DevSecOps / GitHub adoption engagements
21,21,B,"Fairness, reliability, safety, privacy, transparency, accountability",Responsible AI addresses the ethical and safety dimensions of AI systems - a core Apps SE competency for enterprise AI.,AI governance / GenAIOps role expectations
22,22,B,Use Microsoft Entra managed identities,"Managed identities let apps authenticate to Azure services without storing secrets, the recommended secure pattern.","Secure AI architectures (Entra ID, identity)"
23,23,D,Frame around business outcomes with a short demo,"SEs win decisions by translating technology into business value and proof, reserving deep internals for technical audiences.",Apps SE role: trusted advisor / consultative selling
