resource_id,question_id,resource_title,resource_url,source_type
1,1,Azure VM sizes overview,https://learn.microsoft.com/en-us/azure/virtual-machines/sizes,Microsoft Docs
2,1,Azure Well-Architected Framework,https://learn.microsoft.com/en-us/azure/well-architected/,Microsoft Docs
3,2,Azure VM sizes overview,https://learn.microsoft.com/en-us/azure/virtual-machines/sizes,Microsoft Docs
4,2,Study guide - Exam AZ-104,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/az-104,Cert Study Guide
5,3,Azure availability zones overview,https://learn.microsoft.com/en-us/azure/reliability/availability-zones-overview,Microsoft Docs
6,4,Azure Hybrid Benefit (Windows Server),https://learn.microsoft.com/en-us/windows-server/get-started/azure-hybrid-benefit,Microsoft Docs
7,4,Azure Hybrid Benefit for Azure SQL,https://learn.microsoft.com/en-us/azure/azure-sql/azure-hybrid-benefit,Microsoft Docs
8,5,Cloud Adoption Framework - Migrate,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/,Microsoft Docs
9,5,Azure Migrate overview,https://learn.microsoft.com/en-us/azure/migrate/migrate-services-overview,Microsoft Docs
10,6,Azure Migrate overview,https://learn.microsoft.com/en-us/azure/migrate/migrate-services-overview,Microsoft Docs
11,7,Cloud Adoption Framework - Migrate,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/,Microsoft Docs
12,8,Azure Migrate overview,https://learn.microsoft.com/en-us/azure/migrate/migrate-services-overview,Microsoft Docs
13,8,Cloud Adoption Framework overview,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/overview,Microsoft Docs
14,9,Azure landing zones,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/,Microsoft Docs
15,9,Study guide - Exam AZ-305,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/az-305,Cert Study Guide
16,10,Cloud Adoption Framework overview,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/overview,Microsoft Docs
17,11,Azure landing zones,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/,Microsoft Docs
18,12,Network security groups overview,https://learn.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview,Microsoft Docs
19,13,ExpressRoute introduction,https://learn.microsoft.com/en-us/azure/expressroute/expressroute-introduction,Microsoft Docs
20,13,About Azure VPN Gateway,https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways,Microsoft Docs
21,14,Hub-spoke network topology,https://learn.microsoft.com/en-us/azure/architecture/networking/architecture/hub-spoke,Azure Architecture Center
22,14,Study guide - Exam AZ-700 (Networking),https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/az-700,Cert Study Guide
23,15,Azure Firewall overview,https://learn.microsoft.com/en-us/azure/firewall/overview,Microsoft Docs
24,16,What is Microsoft Entra ID?,https://learn.microsoft.com/en-us/entra/fundamentals/whatis,Microsoft Docs
25,17,What is hybrid identity?,https://learn.microsoft.com/en-us/entra/identity/hybrid/whatis-hybrid-identity,Microsoft Docs
26,18,Azure Arc overview,https://learn.microsoft.com/en-us/azure/azure-arc/overview,Microsoft Docs
27,19,Azure Arc-enabled servers overview,https://learn.microsoft.com/en-us/azure/azure-arc/servers/overview,Microsoft Docs
28,19,Azure Arc overview,https://learn.microsoft.com/en-us/azure/azure-arc/overview,Microsoft Docs
29,20,Azure VMware Solution introduction,https://learn.microsoft.com/en-us/azure/azure-vmware/introduction,Microsoft Docs
30,21,Azure VMware Solution introduction,https://learn.microsoft.com/en-us/azure/azure-vmware/introduction,Microsoft Docs
31,21,Azure Migrate overview,https://learn.microsoft.com/en-us/azure/migrate/migrate-services-overview,Microsoft Docs
32,22,Microsoft Defender for Cloud introduction,https://learn.microsoft.com/en-us/azure/defender-for-cloud/defender-for-cloud-introduction,Microsoft Docs
33,23,Azure Site Recovery overview,https://learn.microsoft.com/en-us/azure/site-recovery/site-recovery-overview,Microsoft Docs
34,23,Azure Well-Architected Framework,https://learn.microsoft.com/en-us/azure/well-architected/,Microsoft Docs
35,24,Cloud Adoption Framework overview,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/overview,Microsoft Docs
