question_id,solution_area,domain,subdomain,question_type,level,question_text,option_a,option_b,option_c,option_d
1,Apps SE,AI application development,RAG fundamentals,neutral_theory,200,What problem does Retrieval-Augmented Generation (RAG) primarily solve when building an enterprise AI application?,It retrains the base model on all company data every night,It removes the need for any large language model,It compresses the model so it runs on a phone,"It grounds the model's answers in enterprise knowledge retrieved at query time, reducing hallucination"
2,Apps SE,AI application development,Azure AI Foundry,ms_theory,200,What is Azure AI Foundry best described as?,"A unified platform to build, evaluate, deploy and manage AI apps and agents (models, RAG, agents, evaluation)",A relational database service,A Kubernetes cluster manager,A network firewall product
3,Apps SE,AI application development,Grounding & vectors,ms_theory,300,"In a typical Azure RAG solution, which service is commonly used to store vector embeddings and perform hybrid/semantic retrieval of enterprise content?",Azure DNS,Azure Firewall,Azure AI Search (vector + semantic search),Azure Site Recovery
4,Apps SE,AI application development,Reducing hallucination,neutral_app,300,A customer's chatbot invents policy details not present in their documents. What is the most appropriate architectural fix?,Switch the UI from web to mobile,"Implement RAG so responses are grounded in retrieved source documents, and cite sources",Increase the model temperature so answers are more creative,Remove the system prompt entirely
5,Apps SE,AI application development,Platform choice,ms_app,300,"In the Copilot Studio vs Azure AI Foundry discussions, when is Copilot Studio typically the better fit over Foundry?",When the customer needs a bare-metal Kubernetes cluster,When the customer only needs a relational database,When the customer needs low-code business agents integrated with M365/Teams and connectors,When the customer needs custom multi-agent orchestration with full code control and their own models
6,Apps SE,Agents & orchestration,Agent concept,neutral_theory,200,What distinguishes an AI 'agent' from a single prompt/response chatbot?,An agent cannot use any external data,An agent can reason over a goal and take actions/tool calls in multiple steps to accomplish a task,An agent must run on-premises,An agent can only answer FAQs
7,Apps SE,Agents & orchestration,Orchestration SDKs,ms_theory,300,What is Semantic Kernel primarily used for?,Managing Azure DNS zones,Provisioning virtual machines,Building Power BI reports,"An open-source SDK to orchestrate LLMs, plugins/tools and memory in AI applications and agents"
8,Apps SE,Agents & orchestration,Bring your own model,ms_app,300,"In the Copilot Studio + Foundry agent engagements, customers wanted 'bring your own model' flexibility. What does this enable?",Running agents without any model at all,Replacing the network firewall,Only using a single hard-coded model,"Selecting from multiple foundation models (e.g. GPT, Llama, Phi) rather than being locked to one"
9,Apps SE,Cloud-native app architecture,Microservices,neutral_theory,200,What is a defining characteristic of a microservices architecture?,"An application composed of small, independently deployable services communicating over APIs",A design that cannot scale horizontally,A model that forbids the use of APIs,A single large deployable unit containing all functionality
10,Apps SE,Cloud-native app architecture,Event-driven,neutral_theory,300,"In an event-driven architecture, how do components typically communicate?","Producers emit events that consumers react to asynchronously, decoupling services",By sharing a single in-memory variable,"Only through synchronous, tightly-coupled calls",By editing each other's source code at runtime
